id,roundtrip_time [s]
         0,0.000469577
         1,0.000495961
         2,0.000609682
         3,0.000649229
         4,0.000493701
         5,0.000703692
         6,0.000562003
         7,0.000696568
         8,0.000593637
         9,0.000601809
        10,0.000558498
        11,0.000599618
        12,0.000603528
        13,0.000568621
        14,0.000475124
        15,0.000579327
        16,0.000435102
        17,0.000615186
        18,0.000459993
        19,0.000716749
        20,0.000661949
        21,0.000472195
        22,0.000541738
        23,0.000559114
        24,0.000420952
        25,0.000599368
        26,0.000470752
        27,0.000605668
        28,0.000612501
        29,0.000657279
        30,0.000531207
        31,0.000419329
        32,0.000550647
        33,0.000594527
        34,0.000574204
        35,0.000659459
        36,0.000537380
        37,0.000618661
        38,0.000661018
        39,0.000735771
        40,0.000605395
        41,0.000691483
        42,0.000501110
        43,0.000534223
        44,0.000500177
        45,0.000625370
        46,0.000474370
        47,0.000555561
        48,0.000484689
        49,0.000570838
        50,0.000509375
        51,0.000535505
        52,0.000590635
        53,0.000592207
        54,0.000564125
        55,0.000525831
        56,0.000530712
        57,0.000475854
        58,0.000652196
        59,0.000583626
        60,0.000559415
        61,0.000637427
        62,0.000552681
        63,0.000666834
        64,0.000547124
        65,0.000544471
        66,0.000626704
        67,0.000666357
        68,0.000471545
        69,0.000552741
        70,0.000645983
        71,0.000419400
        72,0.000574039
        73,0.000598955
        74,0.000656552
        75,0.000464163
        76,0.000572366
        77,0.000502308
        78,0.000531459
        79,0.000449335
        80,0.000614306
        81,0.000640886
        82,0.000529419
        83,0.000675306
        84,0.000672688
        85,0.000608067
        86,0.000653824
        87,0.000656485
        88,0.000599329
        89,0.000624001
        90,0.000599007
        91,0.000739987
        92,0.000598246
        93,0.000577610
        94,0.000564189
        95,0.000728035
        96,0.000579598
        97,0.000607374
        98,0.000711759
        99,0.000462758
       100,0.000524699
       101,0.000635809
       102,0.000463237
       103,0.000562698
       104,0.000559108
       105,0.000652216
       106,0.000483689
       107,0.000643038
       108,0.000409861
       109,0.000450633
       110,0.000582233
       111,0.000508811
       112,0.000543258
       113,0.000514245
       114,0.000520767
       115,0.000526869
       116,0.000535946
       117,0.000611077
       118,0.000492101
       119,0.000589989
       120,0.000529916
       121,0.000632591
       122,0.000689788
       123,0.000568444
       124,0.000616419
       125,0.000457958
       126,0.000499178
       127,0.000516846
       128,0.000651405
       129,0.000623800
       130,0.000506604
       131,0.000435861
       132,0.000535424
       133,0.000648173
       134,0.000543603
       135,0.000486823
       136,0.000550977
       137,0.000529185
       138,0.000505662
       139,0.000552436
       140,0.000611157
       141,0.000552798
       142,0.000570620
       143,0.000487262
       144,0.000524125
       145,0.000498764
       146,0.000587252
       147,0.000667770
       148,0.000449674
       149,0.000658831
       150,0.000543060
       151,0.000506675
       152,0.000548954
       153,0.000479767
       154,0.000534184
       155,0.000537985
       156,0.000600962
       157,0.000637760
       158,0.000571315
       159,0.000635935
       160,0.000628305
       161,0.000547034
       162,0.000462046
       163,0.000603668
       164,0.000554794
       165,0.000505833
       166,0.000574887
       167,0.000532293
       168,0.000534006
       169,0.000565302
       170,0.000468347
       171,0.000532302
       172,0.000469808
       173,0.000508820
       174,0.000538954
       175,0.000655742
       176,0.000599938
       177,0.000439076
       178,0.000612539
       179,0.000469986
       180,0.000529241
       181,0.000489243
       182,0.000608222
       183,0.000481112
       184,0.000526597
       185,0.000568259
       186,0.000493549
       187,0.000469553
       188,0.000555062
       189,0.000546613
       190,0.000474787
       191,0.000599992
       192,0.000578101
       193,0.000606830
       194,0.000435027
       195,0.000561995
       196,0.000589821
       197,0.000519880
       198,0.000466062
       199,0.000515401
       200,0.000523515
       201,0.000473645
       202,0.000606383
       203,0.000508904
       204,0.000569351
       205,0.000509625
       206,0.000456231
       207,0.000593720
       208,0.000533359
       209,0.000529028
       210,0.000418149
       211,0.000608485
       212,0.000567652
       213,0.000588860
       214,0.000530250
       215,0.000530980
       216,0.000689735
       217,0.000573537
       218,0.000607290
       219,0.000654005
       220,0.000471724
       221,0.000175304
       222,0.000380967
       223,0.000600194
       224,0.000569849
       225,0.000447041
       226,0.000634252
       227,0.000669249
       228,0.000639355
       229,0.000729704
       230,0.000582231
       231,0.000650405
       232,0.000534396
       233,0.000162996
       234,0.000240778
       235,0.000634910
       236,0.000664396
       237,0.000510790
       238,0.000619022
       239,0.000165376
       240,0.000286289
       241,0.000568164
       242,0.000555795
       243,0.000170301
       244,0.000285288
       245,0.000524172
       246,0.000585191
       247,0.000512189
       248,0.000553367
       249,0.000481843
       250,0.000564651
       251,0.000539684
       252,0.000609911
       253,0.000613745
       254,0.000527385
       255,0.000524627
       256,0.000670590
       257,0.000611772
       258,0.000594964
       259,0.000558935
       260,0.000480995
       261,0.000476805
       262,0.000542677
       263,0.000506962
       264,0.000530247
       265,0.000613718
       266,0.000437540
       267,0.000572340
       268,0.000561718
       269,0.000641647
       270,0.000436054
       271,0.000655817
       272,0.000416954
       273,0.000574455
       274,0.000555256
       275,0.000626320
       276,0.000494689
       277,0.000471032
       278,0.000717299
       279,0.000512341
       280,0.000523135
       281,0.000555687
       282,0.000444220
       283,0.000525737
       284,0.000548121
       285,0.000507401
       286,0.000604078
       287,0.000601450
       288,0.000529599
       289,0.000546142
       290,0.000528794
       291,0.000510103
       292,0.000613688
       293,0.000637163
       294,0.000436864
       295,0.000556885
       296,0.000439465
       297,0.000614349
       298,0.000520404
       299,0.000563749
       300,0.000634835
       301,0.000543692
       302,0.000656669
       303,0.000609934
       304,0.000568540
       305,0.000627121
       306,0.000478865
       307,0.000592179
       308,0.000484279
       309,0.000471885
       310,0.000626965
       311,0.000536823
       312,0.000527574
       313,0.000630985
       314,0.000616928
       315,0.000494885
       316,0.000565762
       317,0.000482536
       318,0.000604125
       319,0.000639049
       320,0.000532692
       321,0.000657072
       322,0.000654946
       323,0.000666920
       324,0.000650526
       325,0.000619956
       326,0.000485067
       327,0.000549554
       328,0.000509457
       329,0.000508360
       330,0.000590839
       331,0.000628866
       332,0.000655697
       333,0.000519003
       334,0.000520105
       335,0.000693239
       336,0.000618691
       337,0.000480082
       338,0.000569157
       339,0.000531345
       340,0.000672865
       341,0.000640796
       342,0.000513719
       343,0.000671307
       344,0.000694346
       345,0.000465392
       346,0.000502349
       347,0.000684867
       348,0.000656855
       349,0.000687099
       350,0.000641930
       351,0.000573803
       352,0.000588389
       353,0.000672360
       354,0.000724290
       355,0.000631655
       356,0.000400845
       357,0.000507573
       358,0.000551839
       359,0.000516644
       360,0.000513678
       361,0.000540763
       362,0.000586336
       363,0.000830854
       364,0.000524958
       365,0.000508173
       366,0.000638877
       367,0.000656127
       368,0.000543929
       369,0.000631606
       370,0.000622216
       371,0.000522941
       372,0.000450327
       373,0.000599617
       374,0.000535945
       375,0.000570815
       376,0.000629257
       377,0.000650932
       378,0.000655845
       379,0.000651080
       380,0.000609796
       381,0.000522053
       382,0.000535231
       383,0.000586010
       384,0.000594556
       385,0.000558616
       386,0.000632667
       387,0.000431149
       388,0.000149868
       389,0.000450163
       390,0.000569163
       391,0.000616084
       392,0.000519267
       393,0.000503840
       394,0.000679437
       395,0.000500699
       396,0.000559196
       397,0.000466470
       398,0.000580228
       399,0.000487900
       400,0.000561525
       401,0.000525416
       402,0.000696871
       403,0.000227574
       404,0.000330817
       405,0.000512495
       406,0.000610164
       407,0.000598700
       408,0.000564382
       409,0.000655500
       410,0.000190107
       411,0.000260058
       412,0.000595227
